Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
2920L260/33DR,F_IN,Fuse_2920_7451Metric,C22870534,1,5,155,23,LOW_STOCK(28),C22870534,expand,28,2920L260/33DR,Littelfuse,2920,0.8232
2N7002K-7,"Q_PRE_EN,Q_RST1",Diodes_2N7002K_SOT23_Exact,C85047,2,10,160,78388,OK,C85047,expand,78398,2N7002K-7,Diodes Incorporated,SOT-23,0.0983
30.9kΩ,R_PWR_TOP,Yageo_RT0603_NominalBody,C861313,1,5,155,4429,OK,C861313,expand,4434,RT0603BRD0730K9L,YAGEO,0603,0.0436
300Ω,"R_MCH_SENSE,R_X1N,R_X1P,R_X2N,R_X2P,R_X3N,R_X3P,R_X4N,R_X4P,R_X5N,R_X5P,R_X6N,R_X6P,R_X7N,R_X7P,R_X8N,R_X8P",R_0402_1005Metric,C138010,17,85,235,303154,OK,C138010,expand,303239,RC0402FR-07300RL,YAGEO,0402,0.004
33kΩ,R_LDO_SET,R_0603_1608Metric,C705768,1,5,155,138045,OK,C705768,expand,138050,RT0603BRD0733KL,YAGEO,0603,0.0371
33Ω,R_TDM,R_0402_1005Metric,C138002,1,5,155,5463731,OK,C138002,expand,5463736,RC0402FR-0733RL,YAGEO,0402,0.005
4.7kΩ,"R_CFG1,R_CFG4",R_0402_1005Metric,C105871,2,10,160,6582642,OK,C105871,expand,6582652,RC0402FR-074K7L,YAGEO,0402,0.0038
4.7uF,"C_VDDA1_4U7,C_VDDA2_4U7",C_0603_1608Metric,C19666,2,10,160,3385970,OK,C19666,base,3385980,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,0.0295
4.7uF,"C_LDO_A,C_LDO_D,C_VMID1_4U7,C_VMID2_4U7",C_0603_1608Metric,C389010,4,20,170,14544,OK,C389010,expand,14564,GRM188Z71C475KE21D,Murata Electronics,0603,0.0905
470nF,"C_VMID1_470N,C_VMID2_470N",C_0603_1608Metric,C318640,2,10,160,22621,OK,C318640,expand,22631,CL10B474KA8NFNC,Samsung Electro-Mechanics,0603,0.0207
470uF,"C_FILT1_470U,C_FILT2_470U,C_HOLD1,C_HOLD2",Panasonic_EEEFK1A471P_8x10.2_Exact,C178530,4,20,170,648,OK,C178530,expand,668,EEEFK1A471P,PANASONIC,SMD,0.4246
47uF,"C_BUCK_O1,C_BUCK_O2,C_BUCK_O3,C_LDO_IN,C_LDO_OUT,C_OPA_BULK",C_1210_3225Metric,C84494,6,30,180,56850,OK,C84494,expand,56880,GRM32ER71A476KE15L,Murata Electronics,1210,0.4816
680pF,"C_FB1N,C_FB1P,C_FB2N,C_FB2P,C_FB3N,C_FB3P,C_FB4N,C_FB4P,C_FB5N,C_FB5P,C_FB6N,C_FB6P,C_FB7N,C_FB7P,C_FB8N,C_FB8P",C_0402_1005Metric,C126514,16,80,230,75120,OK,C126514,expand,75200,GCM1555C1H681JA16D,Murata Electronics,0402,0.0134
"74LVC1G14GV,125","U_DUMP,U_LDO_EN,U_OE",SOT-23-5,C131093,3,15,165,3399,OK,C131093,expand,3414,"74LVC1G14GV,125",Nexperia,SOT-753,0.1684
"74LVC1G17GV,125",U_TDM_SCH,SOT-23-5,C6076,1,5,155,3099,OK,C6076,expand,3104,"74LVC1G17GV,125",Nexperia,SC-74A,0.1343
AO3400A,Q_DUMP,SOT-23,C20917,1,5,155,886798,OK,C20917,base,886803,AO3400A,Alpha & Omega Semicon,SOT-23,0.0846
AO3401A,Q_PRE,SOT-23,C15127,1,5,155,467338,OK,C15127,base,467343,AO3401A,Alpha & Omega Semicon,SOT-23,0.0942
AP63205WU-7,U_BUCK,TSOT-23-6,C2071056,1,5,155,15547,OK,C2071056,expand,15552,AP63205WU-7,Diodes Incorporated,TSOT-23-6,0.4246
B340A-13-F,D_HOLD,D_SMA,C85098,1,5,155,206701,OK,C85098,expand,206706,B340A-13-F,Diodes Incorporated,SMA(DO-214AC),0.0869
BZT52C12-7-F,D_QIN_GS,D_SOD-123,C124196,1,5,155,9424,OK,C124196,expand,9429,BZT52C12-7-F,Diodes Incorporated,SOD-123,0.0571
CS5308P-DN,U_ADC,Cirrus_CS5308P_QFN48_6x6_P0.4_EP4.6,C42457798,1,5,155,-5,LOW_STOCK(0),C42457798,expand,0,CS5308P,Cirrus Logic,QFN48,0.0396
DMP6023LFG-13,Q_IN,Diodes_PowerDI3333-8,C780842,1,5,155,3336,OK,C780842,expand,3341,DMP6023LFG-13,Diodes Incorporated,PowerDI3333-8,1.2428
LT3041ADE#TRPBF,U_LDO,DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm,C7452883,1,5,155,-5,LOW_STOCK(0),C7452883,expand,0,LT3041ADE#TRPBF,Analog Devices,DFN-14-EP(3x4),11.2161
OPA2320AIDR,"U_AFE1,U_AFE2,U_AFE3,U_AFE4,U_AFE5,U_AFE6,U_AFE7,U_AFE8",SOIC-8_3.9x4.9mm_P1.27mm,C2863402,8,40,190,1073,OK,C2863402,expand,1113,OPA2320AIDR,Texas Instruments,SOIC-8,2.1034
